"ISBN, ISSN...",Titre,Auteur,Cote,Nbr. Exp.,Titre_clean,Source,1y,2y,3y,4y,5y,teacher,semester_1,semester_2,total_borrowed
9780367619244,The Anthropology of Argument: Cultural Foundations of Rhetoric and Reason,"Tindale, Christopher W",168 TIN/1,2.0,THE ANTHROPOLOGY OF ARGUMENT CULTURAL FOUNDATIONS OF RHETORIC AND REASON,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
978036754339,Chomsky for Activists,"Chomsky, Noam",306.097 3 CHO/1,3.0,CHOMSKY FOR ACTIVISTS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9780367484149,Reading to Learn in a Foreign Language : An Integrated Approach to Foreign Language Instruction and Assessment,"Koda, Keiko",418.0071/KOD/1,3.0,READING TO LEARN IN A FOREIGN LANGUAGE AN INTEGRATED APPROACH TO FOREIGN LANGUAGE INSTRUCTION AND ASSESSMENT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9780367175900,"Writing Using Sources for Academic Purposes : Theory, Research and Practice",Rosemary Wette,420 WET/1,2.0,WRITING USING SOURCES FOR ACADEMIC PURPOSES THEORY RESEARCH AND PRACTICE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782100824199,"100 fiches pour bien démarrer en prépa, 2021-2022 : MPSI, MP2I, PCSI, PTSI, BCPST 1 : maths, physique, chimie, programme 2021","Speller, Marie-Virginie.",510 SPE,,100 FICHES POUR BIEN DEMARRER EN PREPA 2021 2022 MPSI MP2I PCSI PTSI BCPST 1 MATHS PHYSIQUE CHIMIE PROGRAMME 2021,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782746221208,Analyse de traces et personnalisation des environnements informatiques pour l'apprentissage humain,Marty Charles,006.31/MAR/1,3.0,ANALYSE DE TRACES ET PERSONNALISATION DES ENVIRONNEMENTS INFORMATIQUES POUR L APPRENTISSAGE HUMAIN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782409008979,Angular : développez vos applications web avec le framework Javascript de Google,"Djordjevic, Daniel",005.133 DJO /2,3.0,ANGULAR DEVELOPPEZ VOS APPLICATIONS WEB AVEC LE FRAMEWORK JAVASCRIPT DE GOOGLE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782746223493,Fourmis artificielles,"Monmarché, Nicolas",005.116 FRE/1,,FOURMIS ARTIFICIELLES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782409017988,Parler et faire une présentation en public en toute confiance : apprendre,"Israel, Marc",,,PARLER ET FAIRE UNE PRESENTATION EN PUBLIC EN TOUTE CONFIANCE APPRENDRE,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9782100821822,Eléments de distributions et d'équations aux dérivées partielles : cours et problèmes résolus,"Zuily, Claude",515.330.CLA/1,5.0,ELEMENTS DE DISTRIBUTIONS ET D EQUATIONS AUX DERIVEES PARTIELLES COURS ET PROBLEMES RESOLUS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782100825141,Logique mathématique : cours et exercices corrigés,René Cori,,5.0,LOGIQUE MATHEMATIQUE COURS ET EXERCICES CORRIGES,,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0
9782855577333,Biologie du sol et agriculture durable : une approche organique et agroécologiqu,Christian de Carné-Carnavalet,631.4 CAR /3,3.0,BIOLOGIE DU SOL ET AGRICULTURE DURABLE UNE APPROCHE ORGANIQUE ET AGROECOLOGIQU,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782855576947,L'agroécologie en grandes cultures : vers des systèmes à hautes performances économiques et environnementales,Viaux Philippe,633.094 4 PHI/1,3.0,L AGROECOLOGIE EN GRANDES CULTURES VERS DES SYSTEMES A HAUTES PERFORMANCES ECONOMIQUES ET ENVIRONNEMENTALES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782855577371,"Tous les contrats en agriculture : analyser, rediger, pratiquer","Manteau, Lionel",630.1.MAN/1,3.0,TOUS LES CONTRATS EN AGRICULTURE ANALYSER REDIGER PRATIQUER,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782100806669,"Mécanique pour l'ingénieur : milieux continus solides et fluides, syste`mes multicorps, structures","Puel, Guillaume",620.1 PUE/1,3.0,MECANIQUE POUR L INGENIEUR MILIEUX CONTINUS SOLIDES ET FLUIDES SYSTE MES MULTICORPS STRUCTURES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782100810918,"statistique industrielle : systémes de mesure,estimation, échantillonnage et maitrise statistique des procédés","Bergeret, François",658.56 FRA/1,3.0,STATISTIQUE INDUSTRIELLE SYSTEMES DE MESURE ESTIMATION ECHANTILLONNAGE ET MAITRISE STATISTIQUE DES PROCEDES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782311009941,STATISTIQUES : cours et exercices corrigés : master mathématiques,DEPAUW JEROME,,2.0,STATISTIQUES COURS ET EXERCICES CORRIGES MASTER MATHEMATIQUES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789961007495,"Statistique : cours et exercices, pour les étudiants du tronc commun Bio-Médical",ADMANE O,519.5.ADM/3,4.0,STATISTIQUE COURS ET EXERCICES POUR LES ETUDIANTS DU TRONC COMMUN BIO MEDICAL,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9782100521241,tous les exercices aalgebre et de geometrie pc-psi pour assimoler le programme sentrianer,laamri el-haj,512/LAA/1,2.0,TOUS LES EXERCICES AALGEBRE ET DE GEOMETRIE PC PSI POUR ASSIMOLER LE PROGRAMME SENTRIANER,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,lectures on boolen algebras,R.HALMOS.PAUL,511.32.HAL/1,,LECTURES ON BOOLEN ALGEBRAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9782711789719,Algèbre 1 : travaux dirigés de mathématiques : premier cycle de l'enseignement supérieur scientifique,auzimour annick,512/AUZ/1,1.0,ALGEBRE 1 TRAVAUX DIRIGES DE MATHEMATIQUES PREMIER CYCLE DE L ENSEIGNEMENT SUPERIEUR SCIENTIFIQUE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9789961016497,"Mathematique Les séries : rappel de cours, Exercies corrigés","Osmanov, Hamid",513/OSM/1,4.0,MATHEMATIQUE LES SERIES RAPPEL DE COURS EXERCIES CORRIGES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
978996101832,????? ??????? ????????????,????? ???? ??????,658.4/ELH/1,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
978996101908,???????? ?????? : ???? ?????,??? ?????? ????,332/ABD/1,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
